"#","Reference","Qty","Value","Footprint","DNP"
"1","BATT+0, BATT-0","2","TE63952-1","Papra TH v1.0:TE63952-1",""
"2","C1, C3","2","0.1UF-KIT-EZ-50V-20%","Papra TH v1.0:CAP-PTH-SMALL-KIT",""
"3","C2","1","100UF-POLAR-RADIAL-2.5MM-25V-20%","Papra TH v1.0:CPOL-RADIAL-2.5MM-6.5MM",""
"4","D1","1","1N4004","Papra TH v1.0:DO41-10",""
"5","D2","1","BLUE/3MM","Papra TH v1.0:LED_3MM",""
"6","D3, D4, D5, D6","4","RED/3MM","Papra TH v1.0:LED_3MM",""
"7","D7","1","ZENER_DIODE-AXIAL","Papra TH v1.0:DIODE-AXIAL",""
"8","F2","1","KEYSTONE 4628","Papra TH v1.0:FH_5X20",""
"9","H1","1","PJ-066A","Papra TH v1.0:DCJACK-PJ-066A",""
"10","H2","1","TE-BNC","Papra TH v1.0:TE-BNC",""
"11","IC1","1","78Z","Papra TH v1.0:TO92",""
"12","LP1","1","DIALIGHT_LIGHTPIPE","Papra TH v1.0:DIALIGHT_5151020F__LEDS",""
"13","POT1","1","P091S-FC20BR","Papra TH v1.0:P091S-FC20BR",""
"14","Q1, Q3","2","NMOSFET","Papra TH v1.0:TO220BV",""
"15","Q2","1","FQP27P06","Papra TH v1.0:TO220BV",""
"16","R1, R9, R12","3","10K","Papra TH v1.0:0207_12",""
"17","R2","1","18K","Papra TH v1.0:0207_12",""
"18","R3, R4, R5, R6, R7, R14","6","120R","Papra TH v1.0:0207_12",""
"19","R8","1","100K","Papra TH v1.0:0207_12",""
"20","R10","1","1K2","Papra TH v1.0:0207_12",""
"21","SG1","1","F/TMB","Papra TH v1.0:F_TMB",""
"22","U2","1","QT Py ESP32-S3","Papra TH v1.0:MODULE14P-TH+PAD",""
"23","U$1","1","4X1","Papra TH v1.0:01X4",""
