Designator,Value,Manufacturer,Manufacturer's Part #,Package,Vendor,Vendor Part #,,
"BATT+, BATT-",Battery Tabs,TE Connectivity,1217754-1,,Digikey,A112005-ND,,
"C1,C3",1uF ,Samsung,CL21B105KBFNNNE ,0805,LCSC,C28323,,
C2,.1uF,YAGEO ,CC0805KRX7R9BB104,0805,LCSC,C49678,,
C4,10uF,AVX,TAJA106K016RNJ,CASE0A_3216,LCSC,C7171,,
D1,SCHOTTKY 40V 3A,MDD,SS34,SMA,LCSC,C8678,,
F1,Polyfuse 13.2V 1.8A,Techfuse,nSMD100-13.2V,1206,LCSC,C70081,,
H1,2.1 x 5.5mm DC Jack,CUI,PJ-066A,,Digikey,CP-066A-ND,,
H2,BNC,TE,5227161-9,,JAMECO,1973488,,
"LED1,LED2,LED3,LED4",Red LED,Foshan,NCD0805R1,0805,LCSC,C84256,,
LP1,Quad Lightpipe,DIALIGHT,5151020F,,Digikey,350-2166-ND,,
POT1,Pot w/switch,TT Electronics,P091S-FC20BR10K,,Digikey,987-1283-ND,,
Q1 ,"MOSFET, N-Channel 30V 5.7A ",Alpha & Omega,AO3400A,SOT-23-3L,LCSC,C20917,,
"R1,R9,R11",10K,Uni-Royal,0805W8F1002T5E,0805,LCSC,C17414,,
R10,1K2,Uni-Royal,0805W8F1201T5E,0805,LCSC,C17379,,
R2,18K,Uni-Royal,0805W8F1802T5E,0805,LCSC,C17506,,
R3,4.7K,Uni-Royal,0805W8F4701T5E,0805,LCSC,C17673,,
"R4,R5,R6,R7",330R,Uni-Royal,0805W8F3300T5E,0805,LCSC,C17630,,
R8,47R,Uni-Royal,0805W8F470JT5E,0805,LCSC,C17714,,
U1,"LDO, Fixed 5V 150mA",Texas Instruments,LP2985-50DBVR,SOT-23-5,LCSC,C74511,,
U2,ATtiny AVR,Microchip,ATTINY1614-SSNR,SOIC-14,LCSC,C481364,,
