Comment,Designator,Footprint,LCSC Part #
1uF CL21B105KBFNNNE (C28323),C1 C3 C7 C8,C0805,
.1uF CL21B104KBFNNNE (C49678 ),C2 C9,C0805,
10uF TAJA106K016RNJ (C7171),C4,A/3216-18R,
3.6nF,C5,C0805,
2.7nF,C6,C0805,
MBR2H100SFT3G C96515,D1,SODFL3718X115,
NCD0603G1 C84267,LED1 LED2 LED3 LED4,CHIPLED_0805,
NCD0805R1 (C84256),LED5,CHIPLED_0805,
BSS123,Q1 Q2,SOT23,
10K 0805W8F1002T5E (C17414),R1 R9 R11 R12 R20,R0805,
1K2 0805W8F1201T5E (C17379),R10,R0805,
470K,R14,R0805,
82K,R15,R0805,
390K,R16,R0805,
1K,R17,R0805,
360K,R18,R0805,
56K,R19,R0805,
18K 0805W8F1802T5E (C17506),R2,R0805,
120 0805W8F1200T5E (C17437),R4 R5 R6 R7 R8 R13,R0805,
LP2985-50DBVR  (C74511),U1,SOT25,
ATTINYX04SOIC14,U2,SOIC127P600X144-14,
TPS259472ARPWR,U9,QFN45P200X200X100-16N,
