Designator,Mid X,Mid Y,Layer,Rotation
C1,-5.08, 5.71,Top,180.0
C2, 0.64, 5.46,Top,0.0
C3,-4.83, 0.25,Top,180.0
C4,-5.59, 7.87,Top,0.0
C5,20.70,12.95,Top,0.0
C6,20.70,18.29,Top,0.0
C7,20.70,10.67,Top,0.0
C8, 0.64, 3.30,Top,0.0
C9,17.27,20.45,Top,0.0
C10, 9.40,18.80,Top,90.0
C11,21.51,20.45,Top,180.0
C12,18.02,-4.38,Top,180.0
D1,12.07,-7.37,Top,0.0
D2,21.06,-16.94,Top,180.0
H1, 0.00,23.50,Top,180.0
H2, 9.53,-23.24,Top,270.0
LED1,-9.65,11.30,Top,270.0
LED2,-9.65, 4.95,Top,270.0
LED3,-9.65,-1.40,Top,270.0
LED4,-9.65,-7.75,Top,270.0
LED5,-1.91,-20.07,Top,90.0
POT1,-10.03,-23.24,Top,270.0
Q1,19.05,-13.59,Top,90.0
Q2,19.05,-10.29,Top,90.0
R1, 6.35, 3.56,Top,90.0
R2, 6.35, 7.87,Top,90.0
R4,-4.83,-2.16,Top,0.0
R5,-5.33,-4.32,Top,0.0
R6,-5.33,-6.48,Top,0.0
R7,-5.33,-8.64,Top,0.0
R8, 8.89,-2.67,Top,180.0
R9, 8.89,-4.95,Top,0.0
R10,-1.78,-18.16,Top,0.0
R11,-1.65,-15.11,Top,180.0
R12,18.29,-20.07,Top,270.0
R13,20.57,-20.07,Top,270.0
R14,13.84,18.80,Top,90.0
R15,11.68,18.80,Top,270.0
R16,12.70,15.62,Top,0.0
R17,20.70,16.13,Top,180.0
R18, 7.24,11.68,Top,180.0
R19,12.70,13.34,Top,0.0
R20,-0.25,-8.89,Top,0.0
SG1,13.84, 5.71,Top,180.0
TX,-0.51,-11.30,Top,0.0
U1,-5.21, 2.92,Top,90.0
U2, 1.91,-3.05,Top,0.0
U9,16.89,15.24,Top,0.0
UPDI,-12.19,17.53,Top,90.0
